ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12
-1488,-806,-3927,-1770,-1047,-2178,-1431,-2686,-1579,-1559,-2524,-1353
-2015,-550,-4439,-2332,-649,-2078,-1278,-2819,-1665,-1349,-2894,-1058
-2695,-608,-5601,-2934,-311,-1980,-1234,-2886,-1667,-1326,-3214,-926
-658,-1280,-3097,-1067,-1727,-2552,-1738,-2139,-1629,-1852,-1914,-1963
-2472,-1843,-4684,-2917,-1191,-1730,-1578,-1806,-1957,-1649,-2302,-1650
-850,-1828,-2289,-1337,-1991,-2290,-1834,-1666,-1845,-1884,-1582,-2088
-738,-1493,-2769,-1300,-1779,-2702,-1821,-1949,-1699,-1869,-1874,-1938
-1938,-1058,-3124,-2452,-701,-2005,-1631,-2516,-1622,-1699,-2832,-1428
-430,-906,-2107,-964,-1391,-3395,-1814,-2442,-1485,-1894,-2227,-1908
-1078,-1230,-1989,-1530,-1321,-2398,-1794,-2289,-1585,-1876,-2257,-1776
-1725,-1630,-3187,-2340,-1309,-3275,-1751,-1932,-1787,-1789,-2234,-1788
-1830,-1503,-2891,-2302,-1139,-3132,-1731,-2024,-1715,-1852,-2370,-1756
-688,-1368,-1794,-1062,-1651,-3985,-1896,-2159,-1519,-1949,-1984,-2023
-1452,-1463,-2237,-1834,-1321,-2820,-1788,-2046,-1657,-1952,-2217,-1863
-1645,-1896,-2099,-2077,-1724,-1852,-1728,-1664,-1885,-1809,-1870,-1896
-1205,-1526,-1811,-1542,-1549,-2692,-1846,-1982,-1685,-1956,-1982,-1960
-1122,-1353,-1779,-1494,-1247,-2472,-1956,-2139,-1517,-2059,-2252,-1996
-1570,-1956,-2427,-1852,-1747,-1732,-1841,-1582,-1837,-1864,-1844,-2030
-1832,-1556,-4894,-2070,-1337,-2070,-1618,-2066,-1855,-1639,-2224,-1663
-1652,-1900,-3954,-2014,-1687,-1918,-1778,-1726,-1885,-1804,-1880,-1873
-1585,-1843,-4701,-2010,-1697,-2122,-1701,-1792,-1927,-1749,-1952,-1893
-798,-690,-2244,-1272,-1061,-2435,-1606,-2664,-1457,-1702,-2554,-1596
-1880,-1543,-3167,-2230,-1264,-1888,-1614,-2032,-1795,-1689,-2250,-1670
-612,-966,-2084,-1137,-1424,-2600,-1824,-2382,-1517,-1859,-2260,-1838
-1765,-1063,-3757,-2247,-841,-2615,-1698,-2466,-1617,-1744,-2687,-1546
-2128,-1400,-4547,-2760,-901,-3102,-1648,-2206,-1737,-1712,-2577,-1530
-2130,-1358,-3757,-2742,-879,-2735,-1708,-2194,-1697,-1762,-2657,-1498
-1958,-1868,-3439,-2540,-1471,-3440,-1684,-1724,-1907,-1764,-2162,-1748
-1458,-890,-3101,-1982,-621,-4525,-1908,-2586,-1429,-2029,-2897,-1668
-1578,-2050,-2129,-2002,-1971,-2355,-1634,-1539,-1977,-1726,-1622,-1950
-1682,-2193,-2049,-2057,-2157,-1935,-1618,-1376,-2027,-1699,-1510,-1990
-2132,-1403,-2931,-2537,-714,-3755,-1838,-2186,-1637,-2009,-2770,-1753
-545,-1210,-1574,-772,-1464,-4688,-2061,-2254,-1395,-2086,-2172,-2098
-652,-1386,-1467,-942,-1589,-3648,-2016,-2154,-1492,-2026,-2010,-2126
-2152,-2150,-3061,-2504,-1667,-1542,-1711,-1454,-2022,-1794,-1912,-1913
-2070,-1836,-3051,-2370,-1517,-1625,-1594,-1774,-1907,-1746,-2074,-1783
-2598,-1503,-4041,-2927,-1054,-1635,-1386,-2069,-1962,-1514,-2474,-1363
-1100,-1436,-2409,-1572,-1599,-2048,-1728,-2034,-1682,-1882,-2070,-1898
-2272,-2093,-3991,-2657,-1547,-1652,-1584,-1534,-2009,-1736,-1952,-1743
-1438,-1833,-3994,-1930,-1664,-2302,-1764,-1846,-1835,-1842,-2002,-1843
-1738,-2096,-3741,-2232,-1731,-2155,-1704,-1619,-1965,-1826,-1810,-1858
-1855,-1578,-2967,-2307,-1254,-1910,-1636,-1994,-1859,-1702,-2237,-1690
-1820,-2053,-2779,-2230,-1807,-1985,-1701,-1556,-2007,-1782,-1744,-1898
-1272,-1496,-2464,-1730,-1519,-2930,-1776,-2036,-1669,-1929,-2100,-1886
-552,-1490,-1534,-1032,-1781,-3172,-1958,-1986,-1562,-2042,-1887,-2080
-1225,-843,-2837,-1782,-671,-4598,-2001,-2712,-1325,-2096,-2912,-1763
-1198,-896,-2427,-1614,-664,-3860,-1998,-2609,-1312,-2066,-2870,-1846
-2170,-1890,-2559,-2607,-1504,-1635,-1666,-1696,-1925,-1712,-2044,-1760
-1215,-1183,-2354,-1542,-1019,-4510,-1981,-2366,-1382,-2082,-2597,-1936
-1532,-1330,-2287,-1837,-1034,-3085,-1958,-2196,-1519,-2086,-2490,-1836
-1392,-1508,-1957,-1672,-1344,-2625,-1866,-2054,-1617,-1996,-2224,-1940
-1522,-2030,-1821,-1852,-1817,-1655,-1876,-1549,-1845,-1904,-1760,-2078
-2082,-1013,-5349,-2312,-937,-2142,-1308,-2669,-1822,-1372,-2622,-1233
-1470,-2558,-2644,-1872,-2237,-1695,-1931,-1192,-2042,-2039,-1394,-2250
-760,-1446,-2437,-1227,-1741,-2308,-1864,-2076,-1705,-1906,-1964,-1946
-1300,-1456,-2534,-1642,-1507,-2065,-1731,-2072,-1725,-1839,-2167,-1808
-1378,-2470,-1721,-1794,-2251,-1650,-1856,-1144,-1985,-1902,-1340,-2236
-2338,-2376,-2849,-2692,-1777,-1315,-1666,-1292,-2159,-1659,-1754,-1860
-1192,-2300,-1559,-1562,-2287,-1690,-1881,-1326,-2002,-1872,-1404,-2248
-1600,-1988,-2134,-1932,-1814,-1840,-1696,-1556,-1867,-1789,-1757,-1986
-915,-1298,-2627,-1424,-1417,-3612,-1866,-2266,-1609,-1946,-2210,-1913
-1152,-1220,-2504,-1610,-1237,-3445,-1831,-2334,-1552,-1936,-2460,-1846
-1445,-2303,-2469,-1867,-2379,-3855,-1698,-1354,-2059,-1749,-1412,-2143
-1240,-1406,-1964,-1697,-1339,-2388,-1916,-2094,-1652,-1962,-2197,-1946
-472,-1378,-1594,-764,-1811,-4372,-2038,-2166,-1537,-2146,-2064,-2263
-1378,-1730,-1924,-1712,-1751,-2678,-1781,-1804,-1819,-1826,-1917,-2013
-1088,-1333,-2134,-1302,-1379,-5092,-2026,-2194,-1437,-2139,-2350,-2040
