fx,fy,fz,x,y,,,,,,,,,,
1.687810923,-2.75628178,2.470695178,1,1,,,,,,,,,,
-2.365498146,-5.001555717,2.481401395,2,1,,,,,,,,,,
-4.612379308,-4.952331231,4.227174368,3,1,,,,,,,,,,
5.247407461,1.317582951,3.074306456,4,1,,,,,,,,,,
-4.733341282,2.349886058,3.625984085,5,1,,,,,,,,,,
3.256557347,3.274647305,1.605530563,6,1,,,,,,,,,,
3.296599813,2.360721462,2.677642251,7,1,,,,,,,,,,
-3.539871242,-4.733776718,0.866692328,8,1,,,,,,,,,,
5.365751774,-1.17431198,2.529187991,9,1,,,,,,,,,,
1.604900806,-2.746281842,0.695152712,10,1,,,,,,,,,,
-2.458356789,2.123212893,3.699624228,11,1,,,,,,,,,,
-2.167761616,0.351567145,2.847329811,12,1,,,,,,,,,,
3.138351105,1.44807902,3.257933052,13,1,,,,,,,,,,
-0.263671139,-0.084425656,1.805147978,14,1,,,,,,,,,,
-1.133778596,0.743332559,0.729677401,15,1,,,,,,,,,,
0.747239084,-0.079466882,1.409456642,16,1,,,,,,,,,,
1.280891768,-2.395368143,0.268523598,17,1,,,,,,,,,,
0.993406021,1.634661902,0.598967672,1,2,,,,,,,,,,
1.741782925,1.123544514,4.702008153,2,2,,,,,,,,,,
0.867909649,2.870074384,3.13327036,3,2,,,,,,,,,,
1.318025241,3.744194618,4.790259287,4,2,,,,,,,,,,
2.073476342,-4.921267802,1.309708896,5,2,,,,,,,,,,
-1.99623997,-1.407596871,1.144540818,6,2,,,,,,,,,,
3.972238584,-2.633000388,1.13627608,7,2,,,,,,,,,,
-2.155043266,-2.904642564,2.763770588,8,2,,,,,,,,,,
-4.719300966,-0.441903612,4.954924329,9,2,,,,,,,,,,
-3.907602817,-1.96190989,2.701293417,10,2,,,,,,,,,,
-3.2827444,2.132318777,4.506390175,11,2,,,,,,,,,,
-0.338399793,-2.431388931,4.642968473,12,2,,,,,,,,,,
-1.685469249,2.967327263,1.380192122,13,2,,,,,,,,,,
-1.786769663,3.183226229,0.852858583,14,2,,,,,,,,,,
-4.825028398,-1.520011,3.076097628,15,2,,,,,,,,,,
2.10976556,0.183564106,3.982162451,16,2,,,,,,,,,,
2.083408161,0.037239587,2.159643096,17,2,,,,,,,,,,
